Country Name,name,day,Cumulative Deaths,Confirmed_Cases,id,population
Aruba,Aruba,4/9/2020,0,71,192,104589
Guernsey,Guernsey,4/9/2020,4,166,204,65632
Finland,Finland,4/9/2020,34,2308,FIN,5255068
Australia,Australia,4/9/2020,45,5956,AUS,21515754
Greece,Greece,4/9/2020,81,1832,GRC,10749943
Greenland,Greenland,4/9/2020,0,11,GRL,57637
Portugal,Portugal,4/9/2020,345,12442,PRT,10735765
Israel,Israel,4/9/2020,71,9404,ISR,7353985
Saint Lucia,Saint Lucia,4/9/2020,0,14,187,160922
Ukraine,Ukraine,4/9/2020,52,1668,UKR,45415596
Faroe Islands,Faroe Islands,4/9/2020,0,184,208,49057
Nigeria,Nigeria,4/9/2020,6,254,NGA,152217341
Angola,Angola,4/9/2020,2,17,AGO,13068161
Eritrea,Eritrea,4/9/2020,0,31,ERI,5792984
Zambia,Zambia,4/9/2020,1,39,ZMB,12056923
Seychelles,Seychelles,4/9/2020,0,11,196,88340
Bermuda,Bermuda,4/9/2020,2,39,201,68268
Liechtenstein,Liechtenstein,4/9/2020,1,78,210,35002
Uzbekistan,Uzbekistan,4/9/2020,3,534,UZB,27865738
Guatemala,Guatemala,4/9/2020,3,77,GTM,13550440
Iraq,Iraq,4/9/2020,65,1122,IRQ,29671605
Poland,Poland,4/9/2020,129,4848,POL,38463689
Costa Rica,Costa Rica,4/9/2020,2,467,CRI,4516220
Austria,Austria,4/9/2020,243,12640,AUT,8214160
Fiji,Fiji,4/9/2020,0,15,FJI,957780
Mauritius,Mauritius,4/9/2020,7,268,153,1294104
Kazakhstan,Kazakhstan,4/9/2020,6,709,KAZ,15460484
Nicaragua,Nicaragua,4/9/2020,1,6,NIC,5995928
Kuwait,Kuwait,4/9/2020,1,855,KWT,2789132
Anguilla,Anguilla,4/9/2020,0,3,221,14764
Niger,Niger,4/9/2020,11,278,NER,15878271
Albania,Albania,4/9/2020,22,400,ALB,3659616
Gibraltar,Gibraltar,4/9/2020,1,113,214,28877
Mali,Mali,4/9/2020,5,47,MLI,13796354
Central African Republic,Central African Republic,4/9/2020,0,9,CAF,4844927
South Sudan,South Sudan,4/9/2020,0,1,SDS,12152321
Antigua and Barbuda,Antigua and Barbuda,4/9/2020,0,15,197,86754
British Virgin Islands,British Virgin Islands,4/9/2020,0,3,215,24939
Saint Kitts and Nevis,Saint Kitts and Nevis,4/9/2020,0,10,207,49898
Malta,Malta,4/9/2020,0,293,173,406771
Dominican Republic,Dominican Republic,4/9/2020,98,1956,DOM,9794487
Morocco,Morocco,4/9/2020,91,1242,MAR,31627428
Lebanon,Lebanon,4/9/2020,19,575,LBN,4125247
Japan,Japan,4/9/2020,81,4257,JPN,126804433
Luxembourg,Luxembourg,4/9/2020,44,2970,LUX,497538
Rwanda,Rwanda,4/9/2020,0,105,RWA,11055976
Switzerland,Switzerland,4/9/2020,641,22164,CHE,7623438
Thailand,Thailand,4/9/2020,30,2369,THA,66404688
Colombia,Colombia,4/9/2020,46,1579,COL,44205293
Puerto Rico,Puerto Rico,4/9/2020,23,573,PRI,3977663
Bosnia and Herzegovina,Bosnia and Herzegovina,4/9/2020,32,781,BIH,4621598
India,India,4/9/2020,149,5274,IND,1173108018
Jordan,Jordan,4/9/2020,6,353,JOR,6407085
Montserrat,Montserrat,4/9/2020,0,6,228,5118
Tunisia,Tunisia,4/9/2020,23,623,TUN,10589025
El Salvador,El Salvador,4/9/2020,4,78,SLV,6052064
United Republic of Tanzania,United Republic of Tanzania,4/9/2020,1,24,TZA,41892895
Guinea,Guinea,4/9/2020,0,144,GIN,10324025
Sweden,Sweden,4/9/2020,591,7693,SWE,9074055
United States Virgin Islands,United States Virgin Islands,4/9/2020,1,43,189,109775
Mayotte,Mayotte,4/9/2020,2,184,181,231139
United Arab Emirates,United Arab Emirates,4/9/2020,12,2659,ARE,4975593
Indonesia,Indonesia,4/9/2020,240,2956,IDN,242968342
Belarus,Belarus,4/9/2020,13,861,BLR,9612632
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,4/9/2020,0,7,193,104217
Turks and Caicos Islands,Turks and Caicos Islands,4/9/2020,1,8,216,23528
Bahrain,Bahrain,4/9/2020,5,821,163,738004
Saint Pierre and Miquelon,Saint Pierre and Miquelon,4/9/2020,0,1,227,6010
Ghana,Ghana,4/9/2020,5,287,GHA,24339838
Gambia,Gambia,4/9/2020,1,4,GMB,1824158
Serbia,Serbia,4/9/2020,61,2447,SRB,7344847
New Zealand,New Zealand,4/9/2020,1,969,NZL,4252277
Brazil,Brazil,4/9/2020,553,12056,BRA,201103330
The United Kingdom,The United Kingdom,4/9/2020,6159,55246,GBR,61284806
Jamaica,Jamaica,4/9/2020,3,59,JAM,2847232
Gabon,Gabon,4/9/2020,1,24,GAB,1545255
Netherlands,Netherlands,4/9/2020,2101,19580,NLD,16783092
Russian Federation,Russian Federation,4/9/2020,58,7497,RUS,139390205
Suriname,Suriname,4/9/2020,1,10,SUR,486618
Ethiopia,Ethiopia,4/9/2020,2,52,ETH,88013491
Croatia,Croatia,4/9/2020,18,1282,HRV,4486881
Canada,Canada,4/9/2020,345,17049,CAN,33759742
Nepal,Nepal,4/9/2020,0,9,NPL,28951852
Haiti,Haiti,4/9/2020,1,25,HTI,9203083
Libya,Libya,4/9/2020,1,21,LBY,6461454
Paraguay,Paraguay,4/9/2020,5,115,PRY,6375830
Saint Martin,Saint Martin,4/9/2020,2,31,213,30235
France,France,4/9/2020,10313,77226,FRA,64057792
Cameroon,Cameroon,4/9/2020,9,555,CMR,19294149
Congo,Congo,4/9/2020,5,49,COD,70916439
Mozambique,Mozambique,4/9/2020,0,10,MOZ,22061451
Madagascar,Madagascar,4/9/2020,0,92,MDG,21281844
Montenegro,Montenegro,4/9/2020,2,248,MNE,666730
Iceland,Iceland,4/9/2020,6,1586,ISL,308910
Azerbaijan,Azerbaijan,4/9/2020,8,717,AZE,8303512
Monaco,Monaco,4/9/2020,0,40,212,30586
Dominica,Dominica,4/9/2020,0,15,DOM,72813
Grenada,Grenada,4/9/2020,0,12,190,107818
Argentina,Argentina,4/9/2020,53,1628,ARG,41343201
Turkey,Turkey,4/9/2020,725,34109,TUR,77804122
Bahamas,Bahamas,4/9/2020,5,33,BHS,310426
Sierra Leone,Sierra Leone,4/9/2020,0,6,SLE,5245695
Mongolia,Mongolia,4/9/2020,0,16,MNG,3086918
Senegal,Senegal,4/9/2020,2,237,SEN,14086103
Malawi,Malawi,4/9/2020,1,8,MWI,15447500
Bangladesh,Bangladesh,4/9/2020,20,218,BGD,158065841
Oman,Oman,4/9/2020,2,419,OMN,2967717
Oman,oman,4/9/2020,2,419,LKA,21513990
Venezuela ,Venezuela,4/9/2020,7,165,VEN,27223228
Botswana,Botswana,4/9/2020,1,6,BWA,2029307
Uruguay,Uruguay,4/9/2020,6,415,URY,3510386
