Country Name,name,day,Cumulative_Deaths,Confirmed_Cases,id,population,Percent_Population_Affected
Afghanistan,Afghanistan,4/9/2020,14,423,AFG,29121286,0.0015
Albania,Albania,4/9/2020,22,400,ALB,3659616,0.0109
Algeria,Algeria,4/9/2020,194,1468,DZA,34586184,0.0042
Andorra,Andorra,4/9/2020,22,551,198,84525,0.6519
Angola,Angola,4/9/2020,2,17,AGO,13068161,0.0001
Anguilla,Anguilla,4/9/2020,0,3,221,14764,0.0203
Antigua and Barbuda,Antigua and Barbuda,4/9/2020,0,15,197,86754,0.0173
Argentina,Argentina,4/9/2020,53,1628,ARG,41343201,0.0039
Armenia,Armenia,4/9/2020,8,877,ARM,2966802,0.0296
Aruba,Aruba,4/9/2020,0,71,192,104589,0.0679
Australia,Australia,4/9/2020,45,5956,AUS,21515754,0.0277
Austria,Austria,4/9/2020,243,12640,AUT,8214160,0.1539
Azerbaijan,Azerbaijan,4/9/2020,8,717,AZE,8303512,0.0086
Bahamas,Bahamas,4/9/2020,5,33,BHS,310426,0.0106
Bahrain,Bahrain,4/9/2020,5,821,163,738004,0.1112
Bangladesh,Bangladesh,4/9/2020,20,218,BGD,158065841,0.0001
Barbados,Barbados,4/9/2020,2,60,180,285653,0.021
Belarus,Belarus,4/9/2020,13,861,BLR,9612632,0.009
Belgium,Belgium,4/9/2020,2035,22194,BEL,10423493,0.2129
Belize,Belize,4/9/2020,1,7,BLZ,314522,0.0022
Benin,Benin,4/9/2020,1,26,BEN,9056010,0.0003
Bermuda,Bermuda,4/9/2020,2,39,201,68268,0.0571
Bhutan,Bhutan,4/9/2020,0,5,BTN,699847,0.0007
Bolivia (Plurinational State of),Bolivia (Plurinational State of),4/9/2020,14,194,BOL,9947418,0.002
Bosnia and Herzegovina,Bosnia and Herzegovina,4/9/2020,32,781,BIH,4621598,0.0169
Botswana,Botswana,4/9/2020,1,6,BWA,2029307,0.0003
Brazil,Brazil,4/9/2020,553,12056,BRA,201103330,0.006
British Virgin Islands,British Virgin Islands,4/9/2020,0,3,215,24939,0.012
Bulgaria,Bulgaria,4/9/2020,23,577,BGR,7148785,0.0081
Burkina Faso,Burkina Faso,4/9/2020,18,384,BFA,16241811,0.0024
